id,cui,name,official_name,definition
185,C1037108,propionibacteriales,Propionibacterineae,None
186,C0025964,micrococcaceae,Micrococcaceae,A family of bacteria ranging from free living and saprophytic to parasitic and pathogenic forms.
187,C1187508,caulobacteraceae,Caulobacteraceae,"A taxonomic family of aquatic, Gram negative, bacterium in the phylum Proteobacteria that includes the genera Brevundimonas and Caulobacter, among others."
188,C1032215,caulobacterales,Caulobacterales,None
189,C1003859,rhodobacteraceae,Rhodobacteraceae,"A taxonomic family of Gram negative bacterium in the phylum Proteobacteria that includes the genera Actibacterium, Agaricicola and Rhodobacter, among others."
190,C1210564,lachnospiraceae,Lachnospiraceae,"A taxonomic family of bacterium in the phylum Firmicutes that includes the genera Johnsonella, Dorea, Oribacterium and Anaerostipes, among others."
191,C0315218,citrobacter koseri,Citrobacter koseri,A species of gram-negative enterobacteria found in WATER; SEWAGE; SOIL; and FOOD. It can be present in any clinical specimen as an opportunistic pathogen.
192,C0008862,citrobacter,Citrobacter,"A genus of gram-negative, rod-shaped enterobacteria that can use citrate as the sole source of carbon."
193,C0445802,acinetobacter radioresistens,Acinetobacter radioresistens,"A species of aerobic, Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This bacteria is nonmotile, non spore forming, catalase positive, oxidase and urease negative, highly resistant to gamma ray irradiation and hydrolyzes Tween 80. A. radioresistens is commonly found in soil and cotton."
194,C0317472,enterococcus gallinarum,Enterococcus gallinarum,"A species of facultatively anaerobic, Gram-positive, cocci shaped bacteria in the phylum Firmicutes. This species is nonmotile, non-spore forming, catalase negative, does not hydrolyze gelatin, does not produce hydrogen sulfide and is esculin and hippurate positive. E. gallinarum has been isolated from the gastrointestinal tract of domestic fowl and is pathogenic in humans with some resistance to vancomycin."
195,C0317982,shewanella putrefaciens,Shewanella putrefaciens,A species of SHEWANELLA noted for its ability to reduce iron and manganese anaerobically.
196,C0579220,shewanella,Shewanella,"A genus of gram-negative, facultatively anaerobic rods. It is a saprophytic, marine organism which is often isolated from spoiling fish."
197,C1686190,shewanellaceae,Shewanellaceae,A taxonomic family of bacterium in the phylum Proteobacteria that includes the genus Shewanella.
198,C1065475,alteromonadales,Alteromonadales,None
199,C0315225,erwinia amylovora,Erwinia amylovora,"A species of gram-negative bacteria, in the genus ERWINIA, causing a necrotic disease of plants."
200,C0014727,erwinia,Genus Erwinia,"A genus of gram-negative, facultatively anaerobic, rod-shaped bacteria whose organisms are associated with plants as pathogens, saprophytes, or as constituents of the epiphytic flora."
201,C4429587,erwiniaceae,Family Erwiniaceae,None
202,C0445750,salmonella enterica,Salmonella enterica,A subgenus of Salmonella containing several medically important serotypes. The habitat for the majority of strains is warm-blooded animals.
203,C0085479,fusobacterium nucleatum,Fusobacterium nucleatum,"A species of gram-negative, anaerobic, rod-shaped bacteria isolated from the gingival margin and sulcus and from infections of the upper respiratory tract and pleural cavity."
204,C0317503,eubacterium eligens,Eubacterium eligens,None
205,C0317586,lachnospira,Lachnospira,None
206,C1916915,roseburia inulinivorans,Roseburia inulinivorans,None
207,C0995401,roseburia,Roseburia,None
208,C0686811,methylobacterium radiotolerans,Methylobacterium radiotolerans,None
209,C0315074,clostridium sordelli,Clostridium sordellii,"A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is variably motile by peritrichous flagella, endosporeforming, catalase and lipase negative and nearly all strains do not ferment maltose. C. sordelli is a rare human pathogen, causing toxic shock syndrome most often associated with gynecological infections in females."
210,C0085470,pseudomonas putida,Pseudomonas putida,"A species of gram-negative, aerobic bacteria isolated from soil and water as well as clinical specimens. Occasionally it is an opportunistic pathogen."
211,C1066172,pseudomonas putida group,Pseudomonas putida group,None
212,C0085484,enterobacter cloacae,Enterobacter cloacae,"A species of gram-negative, facultatively anaerobic, rod-shaped bacteria that occurs in water, sewage, soil, meat, hospital environments, and on the skin and in the intestinal tract of man and animals as a commensal."
213,C1532308,enterobacter cloacae complex,Enterobacter cloacae complex,A non-taxonomic grouping of at least six bacterial species that are morphologically similar to the Enterobacter cloacae species.
214,C0014344,enterobacter,Enterobacter,"Gram-negative gas-producing rods found in feces of humans and other animals, sewage, soil, water, and dairy products."
215,C0315259,hafnia alvei,Hafnia alvei,"The type species for the genus HAFNIA. It is distinguished from other biochemically similar bacteria by its lack of acid production on media containing sucrose. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
216,C0315258,hafnia,Hafnia,"A genus of straight, gram-negative bacterial rods which are facultatively anaerobic and motile by peritrichous flagella. This genus is found in human and animal feces, soil, water, and dairy products. It is an opportunistic pathogen in humans. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
217,C4429590,hafniaceae,Hafniaceae,None
218,C1039829,gluconacetobacter,Gluconacetobacter,A genus in the family ACETOBACTERACEAE comprised of acetate-oxidizing bacteria.
219,C0085461,acetobacteraceae,Acetobacteraceae,"A family of gram-negative aerobic bacteria consisting of ellipsoidal to rod-shaped cells that occur singly, in pairs, or in chains."
220,C0035501,rhodospirillales,Rhodospirillales,An order of photosynthetic bacteria representing a physiological community of predominantly aquatic bacteria.
221,C1013270,hydrogenophaga,Hydrogenophaga,None
222,C1034493,comamonadaceae,Comamonadaceae,"A taxonomic family of gram negative, aerobic bacterium in the phylum Proteobacteria that includes the genera Acidovorax, Comamonas, Delftia and Pelomonas, among others."
223,C0085549,lactococccus,Lactococcus,"A genus of gram-positive, coccoid bacteria mainly isolated from milk and milk products. These bacteria are also found in plants and nonsterile frozen and dry foods. Previously thought to be a member of the genus STREPTOCOCCUS (group N), it is now recognized as a separate genus."
224,C0017098,gardnerella vaginalis,Gardnerella vaginalis,"A species in the genus GARDNERELLA previously classified as Haemophilus vaginalis. This bacterium, also isolated from the female genital tract of healthy women, is implicated in the cause of bacterial vaginosis (VAGINOSIS, BACTERIAL)."
225,C0085166,gardnerella,Bacterial Vaginosis,"Polymicrobial, nonspecific vaginitis associated with positive cultures of Gardnerella vaginalis and other anaerobic organisms and a decrease in lactobacilli. It remains unclear whether the initial pathogenic event is caused by the growth of anaerobes or a primary decrease in lactobacilli."
226,C0317597,lactobacillus rhamnosus,Lactobacillus casei rhamnosus,"A species of Gram-positive, rod shaped, facultatively heterofermentative bacteria in the phylum Firmicutes. This species is nonmotile and non spore forming. L. paracasei is a normal flora component of the the human gastrointestinal tract and female reproductive tract. It is closely related to L. casei and L. paracasei."
227,C0728888,enterobacter aerogenes,Enterobacter aerogenes,"Gram-negative, capsulated, gas-producing rods found widely in nature. Both motile and non-motile strains exist. The species is closely related to KLEBSIELLA PNEUMONIAE and is frequently associated with nosocomial infections"
228,C4698738,bacteroides spp,Bacteroides spp,None
229,C1195810,prevotella copri,Prevotella copri,None
230,C1630218,alistipes shahii,Alistipes shahii,"A species of strictly anaerobic, Gram negative, pigment-producing, rod shaped bacteria assigned to the phylum Bacteroidetes. This bacteria is non-motile, non-spore forming, bile-resistant, indole positive, catalase negative, hydrolyzes esculin, and does not reduce nitrate. A. shahii is a commensal organism of the human gastrointestinal tract."
231,C1047126,collinsella,Collinsella,"A genus of anaerobic, Gram positive, rod shaped bacterium in the phylum Actinobacteria and the family Coriobacteriaceae."
232,C1036497,coriobacteriaceae,Coriobacteriaceae,"A taxonomic family of bacterium in the phylum Actinobacteria that includes the genera Atopobium, Coriobacterium, Eggerthella and Collinsella among others."
233,C1532843,coriobacteriales,Coriobacteriales,None
234,C1094273,coriobacteriia,Coriobacteridae,None
235,C3131019,christensenella,Genus Christensenella,None
236,C0318078,ruminococcus gnavus,Ruminococcus gnavus,"A species of anaerobic, Gram-positive gut microbes in the class Clostridia. R. gnavus is described as a normal part of the human gut flora, but can form opportunistic infections. The species is catalase negative, and growth is inhibited by metronidazole, bile, and vancomycin but not by kanamycin or colistin."
237,C4913467,mediterraneibacter,Mediterraneibacter,None
238,C0043406,yersinia enterocolitica,Yersinia enterocolitica,"A species of the genus YERSINIA, isolated from both man and animal. It is a frequent cause of bacterial gastroenteritis in children."
239,C4429589,yersiniaceae,Yersiniaceae,None
240,C0315034,butyrivibrio,Butyrivibrio,"A species of anaerobic bacteria, in the family Lachnospiraceae, found in RUMINANTS. It is considered both gram-positive and gram-negative."
241,C1667633,roseburia hominis,Roseburia hominis,None
242,C1214082,turicibacter,Turicibacter,None
243,C1232677,turicibacteraceae,Turicibacteraceae,None
244,C0317593,lactoba cillus salivarius,Ligilactobacillus salivarius,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is nonmotile, non spore forming, nitrate negative and does not hydrolyze esculin or hippurate. L. salivarius is a commensal organism of the oral cavity."
245,C5471203,ligilactobacillus,Ligilactobacillus,None
246,C0314974,bifidobacterium bifidum,Bifidobacterium bifidum,"A species of anaerobic, Gram-positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase and indole negative and ferments only lactose and cellobiose. B. bifidum is a commensal part of the normal human gastrointestinal tract and vaginal flora and is used in the fermentation of dairy products and as a probiotic."
247,C0022939,lactobacillus acidophilus w37 lactobacillus brevis w63,Lactobacillus acidophilus,"A species of gram-positive, rod-shaped bacteria isolated from the intestinal tract of humans and animals, the human mouth, and vagina. This organism produces the fermented product, acidophilus milk."
248,C0314977,bifidobacterium longum,Bifidobacterium longum,"A species of anaerobic, Gram-positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species is nonmotile, nonsporeforming, catalase and indole negative and ferments arabinose, xylose, ribose, lactose and melezitose. B. longum is non-pathogenic, and it helps maintain a healthy digestive system."
249,C0445727,lactobacilli,Olsenella uli,"A species of anaerobic, Gram-positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species is non-spore forming, catalase and indole negative, does not liquefy gelatin, hydrolyze hippurate, digest meat, or reduce nitrate, but does ferment glucose, glycogen, trehalose, and starch, as well as hydrolyze esculin. O. uli, also known as Lactobacillus uli, is found in human gingival crevices and periodontal pockets where it is associated with periodontal disease."
