,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
109,Streptococcus,respiratory tract infections,"For instance, the six dominant genera in the upper airway microbiota in children have been shown to be Haemophilus, Streptococcus, Corynebacterium, Staphylococcus, Moraxella, and Alloiococcus [3], members of which are commonly implicated in respiratory tract infections.",positive,What is the relationship between Streptococcus and respiratory tract infections?,
379,Enterobacteriaceae,DD,"Recently, lower amounts of Enterobacteriaceae were found in the colon mucosa of DD patients compared with healthy controls[17], whereas higher amounts of Akkermansia and no difference in the Escherichia coli subgroup were found in feces in another DD cohort[18].",negative,What is the relationship between Enterobacteriaceae and DD?,
171,Streptococcus mutans,vascular disease,Atherosclerosis Fernandes et al.revealed that oral Streptococcus mutans is ubiquitous in the atherosclerotic plaques of patients with vascular disease [230].,positive,What is the relationship between Streptococcus mutans and vascular disease?,
238,Escherichia,colorectal cancer,"Bacteroides, Escherichia, Acinetobacter, Fusobacterium and low fecal butyrate concentration have been proposed as potential biomarkers of colorectal cancer risk (Kostic et al., 2012; Ou et al., 2013; O?Keefe, 2016), while depletion of Faecalibacterium prausnitzii, impaired butyrate metabolism and an enrichment of Enterobacteriaceae have been identified as potential biomarkers of inflammatory bowel disease (Jansson et al., 2009; Huttenhower et al., 2014).",positive,What is the relationship between Escherichia and colorectal cancer?,
1035,Klebsiella,colitis,"In summary, our study demonstrates that cinobufacini could modulate the composition of the intestinal flora and restore the relative abundances of vital bacteria including Klebsiella, Proteus, Entrobacter and Bacteroides, preventing the imbalance of gut microbiota in DSS-induced colitis.",negative,What is the relationship between Klebsiella and colitis?,
723,Veillonella dispar,periodontal disease," In addition, microbes associated with periodontal disease, including Treponema socranskii, T. amylovorum, Veillonella dispar, Aggregatibacter segnis, and Bacteroides eggerthii were identified.",positive,What is the relationship between Veillonella dispar and periodontal disease?,
1078,Bacteroides fragilis,DSS-induced colitis,"For example, TLR2 knockout mice demonstrated gut dysbiosis and aberrant immune responses, which were essential for Bacteroides fragilis-mediated prevention of DSS-induced colitis.",na,What is the relationship between Bacteroides fragilis and DSS-induced colitis?,
321,Bacteroides vulgatus,CF,"As compared to healthy children, those suffering from CF have reduced abundances of beneficial bacteria like Eubacterium rectale, Bacteroides vulgatus, Bacteroides uniformis, Faecalibacterium prausnitzii, Bifidobacterium catenulatum, and Bifidobacterium adolescentis (Bruzzese et al., 2014).",negative,What is the relationship between Bacteroides vulgatus and CF?,
752,Porphyromonas gingivalis,periodontal disease,"The Porphyromonas genus include Porphyromonas gingivalis, implicated in periodontal disease but also previously detected in oral cavities of healthy children, whilst the Fusobacterium genus include the bacteria Fusobacterium nucleatum, a species widely present in the oral cavity but also considered to be an opportunistic oral pathogen.",positive,What is the relationship between Porphyromonas gingivalis and periodontal disease?,
155,Chlamydia trachomatis,cervical cancer,"In the last two decades, significant evidence has emerged implicating bacteria in the aetiology of some cancer types such as Helicobacter pylori in gastric cancer and mucosa-associated lymphoid tissue (MALT) lymphomas, Chlamydia trachomatis in cervical cancer, Salmonella typhi in gallbladder cancer and both Bacteroides fragilis and Fusobacterium nucleatum in colon cancer.",positive,What is the relationship between Chlamydia trachomatis and cervical cancer?,
877,Clostridiales,Ulcerative Colitis,"For example, Clostridiales Ruminococcaceae, the second most important taxon in the RFC model, significantly more abundant in Ent+ individuals, has been found to be underrepresented in individuals suffering from Crohn?s Disease and Ulcerative Colitis [27].",negative,What is the relationship between Clostridiales and Ulcerative Colitis?,
125,Bacteroides fragilis,antibiotic-associated diarrhea,Figure 5 Bacteroides fragilis ZY-312 improves gut barrier integrity in antibiotic-associated diarrhea (AAD) rats.,negative,What is the relationship between Bacteroides fragilis and antibiotic-associated diarrhea?,
456,Fusobacterium nucleatum,pancreatic,"Of all oral bacteria, Porphyromonas gingivalis and Fusobacterium nucleatum might possess the greatest potential to be correlated with oral cancer, as both have been implicated in pancreatic and colorectal cancers.",positive,What is the relationship between Fusobacterium nucleatum and pancreatic?,
66,Faecalibacterium prausnitzii,AD,"[8,9] Recent studies have indicated that dysbiosis in Faecalibacterium prausnitzii and dysregulation of gut epithelial inflammation might affect the chronic progression of AD by resulting in impairment of the gut epithelial barrier.",positive,What is the relationship between Faecalibacterium prausnitzii and AD?,
783,Roseburia,CRC,"The abundance of several microbes, such as Streptococcus gallolyticus, Fusobacterium, B. fragilis, Escherichia Shigella, Peptostreptococcus ten  were observed to be enriched in CRC patients versus control groups, while genera such as Bacteroides, Roseburia and Pseudomonas were significantly depleted in CRC patients.",negative,What is the relationship between Roseburia and CRC?,
1030,Escherichia,UC,A marginal inverse correlation between Escherichia phage and Escherichia genus bacteria in UC mucosa was observed (figure 7B).,negative,What is the relationship between Escherichia and UC?,
178,Clostridium,colitis,"In a mouse model of colitis, a Clostridium strain mediated protective effects via indolepropionate production and consecutive PXR activation [84].",negative,What is the relationship between Clostridium and colitis?,
974,Akkermansia muciniphila,disorders and inflammation,"Patrice D. Cani (Brussels, Belgium), Willem M. de Vos (Wageningen, The Netherlands) and collaborators have identified Akkermansia muciniphila as a potential target to treat cardiometabolic disorders and inflammation.",negative,What is the relationship between Akkermansia muciniphila and disorders and inflammation?,
415,Streptococcus gallolyticus,CRC,"The abundance of several microbes, such as Streptococcus gallolyticus [164], Fusobacterium, [165], B. fragilis [166], Escherichia Shigella, Peptostreptococcus ten [167] were observed to be enriched in CRC patients versus control groups, while genera such as Bacteroides, Roseburia [164] and Pseudomonas [167] were significantly depleted in CRC patients.",positive,What is the relationship between Streptococcus gallolyticus and CRC?,
100,Blautia coccoides,systemic lupus erythematosus,"No previous association of Blautia coccoides (which was depleted in our na?ve group) with RA was reported; nonetheless, it was shown that enriching the gut microbiota of systemic lupus erythematosus patients with Blautia coccoides, together with Ruminococcus obeum and Bifidobacterium bifidum, improved the inflammatory status by inducing the production of the immunosuppressive regulatory T cells (Tregs) [31].",negative,What is the relationship between Blautia coccoides and systemic lupus erythematosus?,
626,Bacteroides fragilis,autoimmune encephalomyelitis (EAE),Many studies have also shown that gut microbiota plays an important role in the pathogenesis of MS. Polysaccharide A (PSA) produced by intestinal Bacteroides fragilis has been discovered to protect against the disease symptoms in the experimental autoimmune encephalomyelitis (EAE) model [47].,negative,What is the relationship between Bacteroides fragilis and autoimmune encephalomyelitis (EAE)?,
725,Porphyromonas gingivalis,CRC,"Applying our approach to a large CRC dataset, we identified that the relative abundance of the enzymatic components of Bifidobacterium, Clostridium, Fusobacterium nucleatum, Porphyromonas gingivalis, and Eubacterium, were significantly higher in the adenoma and CRC patients, as compared to the healthy controls.",positive,What is the relationship between Porphyromonas gingivalis and CRC?,
334,Faecalibacterium prausnitzii,Crohn\'s disease (CD),A decrease in Faecalibacterium prausnitzii as a result of AB treatment is important because this bacterium exhibits anti-inflammatory capacity and a reduction in the amount of this bacterium was shown to be associated with inflammatory diseases such as Crohn\'s disease (CD) or ulcerative colitis (UC) [2]?[27].,negative,What is the relationship between Faecalibacterium prausnitzii and Crohn\'s disease (CD)?,
813,Akkermansia muciniphila,colorectal cancer,"Finally, the murB gene, a specific marker for the presence of Akkermansia muciniphila, was also included in this study because of reports linking this species to colorectal cancer (Weir et al., 2013).",positive,What is the relationship between Akkermansia muciniphila and colorectal cancer?,
